31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;08:15 - 09:45;Presidente ;Rossano Araújo;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;08:15 - 09:45;Moderador ;CIRUGIA ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;08:15 - 09:45;Moderador ;Edith Magalhães ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;08:15 - 09:45;Moderador ;Rafaela Ralph ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;"08:15 - 08:30
(15 min) ";Modulação do microbioma  intestinal e câncer do TGI;Cristiana Tavares ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;"08:30 - 08:45
(15 min) ";A importância da nutrição do pré e pós-operatório do câncer esofágico ;Natália Fernandes ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;"08:45 - 09:00
(15 min) ";Inibidor de GLP1 x câncer ;Érico Higino;Convidar ;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;"09:00 - 09:15
(15 min) ";Tratamento da obesidade durante o câncer: até onde devemos investir?;José Câmara ;;
31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;"09:15 - 09:30
(15 min)  ";Navegação eTumores gastrointestinais ;Amanda (Enf.) ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;09:30 - 11:00;Presidente ;AntÔnio de Pádua ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;09:30 - 11:00;Moderador ;PATOLOGISTA ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;09:30 - 11:00;Moderador ;Ricardo Machado ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;09:30 - 11:00;Moderador ;Thiago Apolinario;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;"09:45 - 10:00
(15 min) ";CASO CLINICO  - Esofago - Doença localizada;Rodrigo Arruda ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;"10:15 - 10:30
(15 min) ";Classificação Molecular câncer de estômago ;Gustavo Ferreira ;;
31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;"10:30 - 10:45
(15 min) ";CASO CLINICO -  Tratamento perioperatorio ;Cristiana Tavares ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;11:20 - 12:50;Presidente ;Sandra Oliveira ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;11:20 - 12:50;Moderador ;Rommel Pierre ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;11:20 - 12:50;Moderador ;Tien Chang ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;11:20 - 12:50;Moderador ;PATOLOGISTA ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;"11:20 - 11:35
(15 min) ";CASO CLINICO METASTATICONAO HER 2;Luis Felipe Carvalho;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;"11:50 - 12:05
(15 min) ";Tratamento de doença HER 2+;Ilan Pedrosa ;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;"12:05 - 12:20
(15 min) ";Tratamento cirúrgico na doença metastatica ;Flávio Fernandes;;
31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;"12:20 - 12:35
(15 min) ";Tratamento cirúrgico  da carcinmoatose peritoneal dos tumores gástricos - ;Graice Abreu ;;
31-Oct;SIMPÓSIO SATÉLITE ROCHE ;"13:50- 14:20
(30 min) ";Simpósio Satélite ROCHE - Tratamento sistêmico do CHC ;Anelise Coutinho;Leila ;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;14:20 - 16:20;Presidente ;Leila Beltrão ;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;14:20 - 16:20;Moderador ;Anelise Coutinho;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;14:20 - 16:20;Moderador ;Roberto Borges ;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;14:20 - 16:20;Moderador ;Fernando Cavalcanti ;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;"14:20 - 14:35
(15 min) ";CASO CLINICO - HCC e Transplante - HEPATO ;Tibério Medeiros ;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;"14:50 - 15:05
(15 min) ";Quando optar por terapia local?  ;João Paulo Ayub;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;"15:05 - 15:20
(15 min)";CASO CLINICO -  HCC e TTO local e sitêmico ;Antônio Douglas ;;
31-Oct;Mesa 4– Carcinoma Hepatocelular ;"15:35 - 16:20
(45 min) ";Simpósio Satélite ASTRAZENECA - Tratamento sistêmico do CHC;Rodrigo Taboada;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;16:35 - 18:05;Presidente ;Américo ;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;16:35 - 18:05;Moderador ;Gustavo Rivera ;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;16:35 - 18:05;Moderador ;Lilian Rose ;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;16:35 - 18:05;Moderador ;Diogo Sales ;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;"16:35 - 16:50
(15 minutos) ";E o Tx hepático? Um novo horizonte?;Olival Lucena ;;
31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;"16:50 - 17:20
(30 minutos) ";CASO CLINICO - Colangio - TTO cirugico e sistêmico ;Ilan Pedrosa ;;
31-Oct;CONFERÊNCIA ;"17:35 - 18:05
(30 minutos";CONFERÊNCIA - Transplante Hepático ;Ben Hur ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;08:00 - 09:15 ;Presidente ;Rommel Pierre ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;08:00 - 09:15 ;Moderador ;Carol Mathias ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;08:00 - 09:15 ;Moderador ;Joyce Cavalcanti ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;08:00 - 09:15 ;Moderador ;AntÔnio de Pádua ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;"08:00 - 08:15
(15 min) ";Rastreamento do câncer colorretal: o que há de novo?;Marcos Saturnino;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;"08:15 - 08:30
(15 min) ";Terapia endoscópica no câncer colorretal inicial;Leliane Alencar ;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;"08:30 - 08:45
(15 min) "; Imunoterapia em Câncer  colonrretal : O  que ha de novo ?;Thiago Apolinario;;
1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;"08:45 - 09:00
(15 min) ";Drivers em CCR: velhos conhecidos, novas possibilidades;Luiz José Batista;;
1-Nov;SIMPÓSIO SATÉLITE PFIZER  /  MERCK ;"09:15 - 09:45
(30 min)";Simpósio Satélite PFIZER/MERK - Tratamento sistêmico do câncer de colon metasttico BRAF mudado;Antônio Douglas ;;
1-Nov;Mesa 7 – Câncer de reto;09:45 - 11:00;Presidente ;Maurício Mattos ;;
1-Nov;Mesa 7 – Câncer de reto;09:45 - 11:00;Moderador ;João Paulo Pontual ;;
1-Nov;Mesa 7 – Câncer de reto;09:45 - 11:00;Moderador ;Jenna ;;
1-Nov;Mesa 7 – Câncer de reto;09:45 - 11:00;Moderador ;PROCTOLOGISTA / ONCOLOGISTA ;;
1-Nov;Mesa 7 – Câncer de reto;"09:45 - 10:00
(15 min) ";Impacto da radiologia na avaliação de resposta ao tratamento ;Ítalo Cruz ;;
1-Nov;Mesa 7 – Câncer de reto;"10:00 - 10:15
(15 min) ";Terapia neoadjuvante e imunoterapia - Como estamos ?;Thiago Apolinario;;
1-Nov;Mesa 7 – Câncer de reto;"10:15 - 10:30
(15 min) ";Seguimento do paciente após Watch and Wait: como conduzir? ;PROCTOLOGISTA;;
1-Nov;Mesa 7 – Câncer de reto;"10:30 - 10:45
(15 min) ";Ressecção multi visceral no câncer de reto : indicações e limites ;CIRURGIÃO  OU PROCTOLOGISTA ;;
1-Nov;SIMPÓSIO SATÉLITE IPSEN ;"11:00 - 11:30
(30 min) ";Simpósio Satélite IPSEN - Tratamento sistêmico do TNE ;Ana Paula Vitorino;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;11:50 - 13:20;Presidente ;Cristiante Violet ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;11:50 - 13:20;Moderador ;Ilan Pedrosa ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;11:50 - 13:20;Moderador ;Omar Jacobina ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;11:50 - 13:20;Moderador ;Franciane ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;"11:50 - 12:20
(30 min) ";Simpósio Satélite SERVIER  - Tratamento sistêmico do Câncer de Pâncreas metasttico;Felipe Moreira ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;"12:20 - 12:35
(15 min)";Neoadjuvancia em Câncer de Pâncreas ;Antônio Douglas ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;"12:35 - 12:50
(15 min) ";Critérios de Ressecabilidade ;Pedro Pinheiro ;;
1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;"12:50 - 13:05
(15 min) ";Insuficiência pancreática pós-cirúrgica: como manejar ;Gustavo Lima;;