;NOME;FOTO ;CURRICULO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;João Paulo Pontual ;;;1-Nov;09:45 - 11:00;Mesa 7 – Câncer de reto;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;José Câmara ;OK;Presidente da Sociedade Brasileira de Cirurgia Bariátrica e Metabólica (SBCBM) - capítulo Pernambuco Biênios 2023/24 e 2025/26  ;31-Oct;"09:00 - 09:15
(15 min) ";Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Tratamento da obesidade durante o câncer: até onde devemos investir?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Joyce Cavalcanti ;;;1-Nov;"10:15 - 10:30
(15 min) ";Mesa 7 – Câncer de reto;Seguimento do paciente após Watch and Wait: como conduzir? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Lara Neves ;;;31-Oct;11:20 - 12:50;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Leila Beltrão ;;;31-Oct;14:20 - 16:20;Mesa 4– Carcinoma Hepatocelular ;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Leliane Alencar ;OK;"Graduação em Medicina pela UPE;
-Cirurgiã geral pelo Hospital da Restauração; 
- Endoscopia Digestiva pelo Hospital da Restauração;
- Fellowship observer em ESD pelo Kobe University Hospital – Kobe, Hyogo, Japão;
- - Membro Titular da SOBED;
- Membro da ASGE;
- Membro do Núcleo SOBED Mulher;
- Coordenadora do serviço de Endoscopia Dogestiva do Hospital Barão de Lucena e do Hospital Universitário Osvaldo Cruz;
- Diretora Médica Endogastro .";1-Nov;"08:15 - 08:30
(15 min) ";Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Terapia endoscópica no câncer colorretal inicial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Lilian Rose ;;;31-Oct;16:35 - 17:35;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Luis Felipe Carvalho;;"Médico Oncologista Clínico 
Preceptor da Residência de Oncologia Clínica do IMIP
Médico Oncologista da Oncologia D’Or e da Rede Americas. Memorize nesse formato";31-Oct;"11:20 - 11:35
(15 min) ";Mesa 3 – Câncer de estômago AVANÇADO;CASO CLINICO METASTATICONAO HER 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Luiz José Batista;;;1-Nov;"12:20 - 12:35
(15 min) ";Mesa 8 – Tumores câncer de pâncreas ;Neoadjuvancia em câncer de pâncreas ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Marcos Rivera ;;;31-Oct;16:35 - 17:35;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Maurício Mattos ;;;1-Nov;09:45 - 11:00;Mesa 7 – Câncer de reto;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Murilo Aragão ;;;31-Oct;14:20 - 16:20;Mesa 4– Carcinoma Hepatocelular ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Natália Fernandes ;;"Mestre e Doutora em Nutrição (UFPE)
Pós graduação em Nutrição pelo Programa de Residência (UPE)
Especialista em Nutrição em Saúde da Mulher 
Especialista em Nutrição Oncológica
Fitoterapeuta";31-Oct;"08:30 - 08:45
(15 min) ";Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;A importância da nutrição do pré e pós-operatório do câncer esofágico ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Olival Lucena ;OK;Professor Adjunto de Cirurgia da UPE e UNINASSAU             Cirurgião do Aparelho Digestivo e Transplante de Fígado                                       HUOC - UTF - HSJ;31-Oct;"16:35 - 16:50
(15 minutos) ";Mesa 5 – Metástase hepáticas e câncer de vias biliares;E o Tx hepático? Um novo horizonte?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1-Nov;11:50 - 13:20;Mesa 8 – Tumores câncer de pâncreas ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Omar Jacobina ;;;31-Oct;09:45 - 11:00;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Paulo Mozart;;"Coloproctologista 
Preceptor da Residência de Coloproctologia do Hospital Barão de Lucena. 
Título de Especialista pela Sociedade Brasileira de Coloproctologia
Mestrado em cirurgia pela UFPE";1-Nov;08:00 - 09:15;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Ricardo Machado ;;;31-Oct;09:45 - 11:00;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Roberto Borges ;;;1-Nov;"08:45 - 09:00
(15 min) ";Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Drivers em CCR: velhos conhecidos, novas possibilidades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Rodrigo Arruda ;ok;"Coordenador Oncologia Clínica do Hospital do Câncer de Pernambuco;
Oncologista Clínico do Imip; 
Mestre pelo IMIP";31-Oct;"09:45 - 10:00
(15 min) ";Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;CASO CLINICO  - Esofago - Doença localizada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Rodrigo Taboada;OK;"Oncologista Clínico no A.C.Camargo Cancer Center
Mestrado em Oncologia, concluído em 2021, pelo A.C.Camargo Cancer Center.
Foco em Tumores Gastrointestinais e Neuroendócrinos";31-Oct;"15:35 - 16:20
(45 min) ";SIMPÓSIO SATÉLITE ;Simpósio Satélite ASTRAZENECA - Tratamento sistêmico do CHC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Rommel Pierre;;;31-Oct;11:20 - 12:50;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1-Nov;08:00 - 09:15;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Rosaura Campos ;;"è	Nutricionista. Com atuação em consultório Hospital Santa Joana Recife
è	Consultora e coaching
è	Mestre em Cirurgia pelo PPGC- UFPE. 
è	Mestre pela Universidad Europea del Atlantico  (Linha de pesquisa: Nutrição e dietética. 
è	Especialista em Nutrição Clínica pelo programa de pós graduação da  Universidade Federal de Pernambuco- UFPE.  
è	Especialista em Nutrição  na Obesidade e emagrecimento- FUNIBER .
è	MBA em Gestão hospitalar  e Sistemas de saúde.";31-Oct;08:15 - 09:45;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Rossano Araújo ;;"Oncologista clínico do hospital Santa Joana Recife e da clínica professor Antônio Figueira Filho.
Mestre em medicina pela UPE.
Doutorando em medicina translacional -UNIFESP -SP.
Especialista em oncologia mamária pelo MD Anderson Câncer Center-Houston tx-USA.                                                                                                                                                                        Especialização em tumores ginecológicos pela Escola de Tumores Ginecológicos do Instituto Oncoclinicas.
Professor assistente de oncologia mamária da disciplina de mastologia da UPE-PE";31-Oct;08:15 - 09:45;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Sandra Oliveira;;;31-Oct;11:20 - 12:50;Mesa 3 – Câncer de estômago AVANÇADO;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Sélem Asmar ;;"è	Oncologista pelo INCA    
è	Mestre pelo Hospital Sírio Libanês  
è	 Atua como Oncologista do Hospital Santa Joana        
è	 Coordenador da Oncologia Unimed Caruaru e Sócio Fundador da Oncoagreste  
è	 Coordenador Médico do curso de medicina Uninassau Caruaru";1-Nov;11:50 - 13:20;Mesa 8 – Tumores câncer de pâncreas ;Presidente ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;Thiago Apolinario;OK;"Oncologista clínico do Hospital Santa Joana;
Oncologista clínico do Hospital Universitário Oswaldo Cruz - Universidade de Pernambuco;
Fellowship em Oncologia Mamária , Fundação Champalimaud, Lisboa, Portugal.";31-Oct;09:45 - 11:00;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1-Nov;"08:30 - 08:45
(15 min) ";Mesa 6 – Câncer colorretal – diagnóstico e patologia ; Imunoterapia em Câncer  colorretal : O  que ha de novo ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1-Nov;"10:00 - 10:15
(15 min) ";Mesa 7 – Câncer de reto;Terapia neoadjuvante e imunoterapia - Como estamos ?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;Tibério Medeiros ;OK;"Médico gastrohepatologista e Coordenador do Instituto do fígado do Hospital Santa Joana.
Médico hepatologista do Hospital Oswaldo Cruz 
Professor de Gastroenterologia da Faculdade de aciencias Médicas - PB";31-Oct;"14:20 - 14:35
(15 min) ";Mesa 4– Carcinoma Hepatocelular ;CASO CLINICO - HCC e Transplante - HEPATO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Tien Chang ;;"Coordenador do serviço de Medicina Nuclear e PET/CT do IMIP
Medico Nuclear do Hospitais Santa Joana e Memorial Star";31-Oct;11:20 - 12:50;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
