1;Alexandre Sá;"12:20 - 12:35
(15 min) ";;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Critérios de Ressecabilidade ;;;;;;;;;;;;;;;;
2;Amanda (Enf.) ;"09:15 - 09:30
(15 min)  ";;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Navegação eTumores gastrointestinais ;;;;;;;;;;;;;;;;
3;Américo ;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Presidente ;;;;;;;;;;;;;;;;
4;Ana Paula Vitorino;"11:00 - 11:30
(30 min) ";;1-Nov;SIMPÓSIO SATÉLITE IPSEN ;Simpósio Satélite IPSEN - Tratamento sistêmico do TNE ;;;;;;;;;;;;;;;;
5;Anelise Coutinho;"13:50- 14:20
(30 min) ";;31-Oct;SIMPÓSIO SATÉLITE ROCHE ;Simpósio Satélite ROCHE - Tratamento sistêmico do CHC ;;;;;;;;;;;;;;;;
;;14:20 - 16:20;;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Moderador ;;;;;;;;;;;;;;;;
6;Antônio de Pádua ;09:30 - 11:00;"Médico formado pela FCM/ UPE;
Cirurgião oncológico formado pelo hospital de câncer de Barretos ;
Cirurgião oncológico no HBL;
Cirurgião oncológico com atuação no hospital Santa joana Recife na CIRÚRGICA -  RHP e na  Rede Dor;";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Presidente ;;;;;;;;;;;;;;;;
;;08:00 - 09:15 ;;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;
7;Antônio Douglas ;"15:05 - 15:20
(15 min)";"Oncologista Clínico Do Hospital Santa Joana – Rede Américas;
Oncologista Clínico do Hospital das Clínicas UFPE
Professor da UPE e Uninassau";31-Oct;Mesa 4– Carcinoma Hepatocelular ;CASO CLINICO -  HCC e TTO local e sitêmico ;;;;;;;;;;;;;;;;
;;"09:15 - 09:45
(30 min)";;1-Nov;Simpósio Satélite PFIZER/MERK ;Simpósio Satélite PFIZER/MERK - Tratamento sistêmico do câncer de colon metasttico BRAF mudado;;;;;;;;;;;;;;;;
8;Anne Jamylle Cabral ;"08:00 - 08:15
(15 min) ";"Preceptora Do Serviço De Cirurgia Geral E Aparelho Digestivo No Imip -PE
Título De Especialista Pela Sociedade Brasileira De Coloproctologia
 Estágio No Instituto Angelita E Joaquim Gama (Hospital Alemão Oswaldo  Cruz) , São Paulo -SP
Residencia Médica Pelo Hospital Barao De Lucena - Recife PE 
Pos Graduada Pelo Hospital Albert Einstein - São Paulo SP
";1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Rastreamento do câncer colorretal: o que há de novo?;;;;;;;;;;;;;;;;
;;09:45 - 11:00;;1-Nov;Mesa 7 – Câncer de reto;Moderador ;;;;;;;;;;;;;;;;
9;Beatriz Cavalcanti;"10:30 - 10:45
(15 min) ";;1-Nov;Mesa 7 – Câncer de reto;Ressecção multi visceral no câncer de reto : indicações e limites ;;;;;;;;;;;;;;;;
10;Ben Hur ;"17:35 - 18:05
(30 minutos";;31-Oct;CONFERÊNCIA ;CONFERÊNCIA - Transplante Hepático ;;;;;;;;;;;;;;;;
11;Carol Mathias ;08:00 - 09:15 ;;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;
12;CIRUGIA ;08:15 - 09:45;;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;
13;Manoel ;"10:30 - 10:45
(15 min) ";;1-Nov;Mesa 7 – Câncer de reto;Ressecção multi visceral no câncer de reto : indicações e limites ;;;;;;;;;;;;;;;;
14;Cristiana Tavares ;"08:15 - 08:30
(15 min) ";"Oncologista do Hospital Santa Joana e do Hospital Universitário Oswaldo Cruz / UPE;
Preceptora de graduação e pós-graduação da FCM - Faculdade de Ciências Médicas / UPE;
Mestre pela UPE;
Doutoranda em medicina translacional pela UNIFESP.";31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Modulação do microbioma  intestinal e câncer do TGI;;;;;;;;;;;;;;;;
;;"10:30 - 10:45
(15 min) ";;31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;CASO CLINICO -  Tratamento perioperatorio ;;;;;;;;;;;;;;;;
15;Cristiante Violet ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Presidente ;;;;;;;;;;;;;;;;
16;Diogo Sales ;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;
17;Edith Magalhães ;14:20 - 16:20;"Médica Nutróloga 
Especialista em terapia parenteral e enteral
Residência em clínica médica - Santa casa de misericórdia do Recife 
Coordenadora da equipe de terapia nutricional do hospital Santa Joana";31-Oct;Mesa 4– Carcinoma Hepatocelular ;Moderador ;;;;;;;;;;;;;;;;
18;Eduardo Inojosa;08:00 - 09:15 ;;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;
19;Felipe Magero;"08:45 - 09:00
(15 min) ";Endocrinologista pelo Hospital Agamenon Magalhães, Mestre em Ciências da Saúde pela UPE e Tutor do Curso de Medicina da FPS-IMIP;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Inibidor de GLP1 x câncer ;;;;;;;;;;;;;;;;
20;Felipe Moreira ;09:45 - 11:00;;1-Nov;Mesa 7 – Câncer de reto;Moderador ;;;;;;;;;;;;;;;;
;;"12:35 - 12:50
(15 min) ";;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Simpósio Satélite SERVIER  - Tratamento sistêmico do Câncer de Pâncreas metasttico;;;;;;;;;;;;;;;;
21;Frernanda (Enf.);08:15 - 09:45;;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;
22;Fernando Cavalcanti ;14:20 - 16:20;;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Moderador ;;;;;;;;;;;;;;;;
23;Flávio Fernandes;"12:05 - 12:20
(15 min) ";;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Tratamento cirúrgico na doença metastatica ;;;;;;;;;;;;;;;;
24;France Anne;08:15 - 09:45;;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;
25;Greice Abreu ;"12:20 - 12:35
(15 min) ";;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Tratamento cirúrgico  da carcinmoatose peritoneal dos tumores gástricos - ;;;;;;;;;;;;;;;;
26;Gustavo Ferreira ;"10:15 - 10:30
(15 min) ";"Graduação pela UFPE, mestrando e professor substituto na mesma instituição. Residência médica na EPM(escola paulista de medicina)/UNIFES.
Trabalha nos laboratório SPAC, Citomaxx e Hospital Otavio de Freitas.";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Classificação Molecular câncer de estômago ;;;;;;;;;;;;;;;;
27;Gustavo Lima;"12:50 - 13:05
(15 min) ";;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Insuficiência pancreática pós-cirúrgica: como manejar ;;;;;;;;;;;;;;;;
28;Ilan Pedrosa ;"11:50 - 12:05
(15 min) ";"Oncologista clínico do Hospital Santa Joana e Onkos.
Preceptor da Residência médica em Oncologia do Hospital de câncer de Pernambuco .   Coordenador da Residência médica em Oncologia Clincia do Santa Joana
";31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Tratamento de doença HER 2+;;;;;;;;;;;;;;;;
;;"16:50 - 17:20
(30 minutos) ";;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;CASO CLINICO - Colangio - TTO cirugico e sistêmico ;;;;;;;;;;;;;;;;
;;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Moderador ;;;;;;;;;;;;;;;;
29;Ítalo Cruz ;"09:45 - 10:00
(15 min) ";"Médico Radiologista 
Radiologista Abdominal
Radiologista do Hospital da Restauração, Hospital Santa Joana, Boris Bereinstein.";1-Nov;Mesa 7 – Câncer de reto;Impacto da radiologia na avaliação de resposta ao tratamento ;;;;;;;;;;;;;;;;
30;Jenna ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Moderador ;;;;;;;;;;;;;;;;
31;João Paulo Ayub;"14:50 - 15:05
(15 min) ";;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Quando optar por terapia local?  ;;;;;;;;;;;;;;;;
32;João Paulo Pontual ;09:45 - 11:00;;1-Nov;Mesa 7 – Câncer de reto;Moderador ;;;;;;;;;;;;;;;;
33;José Câmara ;"09:00 - 09:15
(15 min) ";Presidente da Sociedade Brasileira de Cirurgia Bariátrica e Metabólica (SBCBM) - capítulo Pernambuco Biênios 2023/24 e 2025/26  ;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Tratamento da obesidade durante o câncer: até onde devemos investir?;;;;;;;;;;;;;;;;
34;Joyce Cavalcanti;"10:15 - 10:30
(15 min) ";;1-Nov;Mesa 7 – Câncer de reto;Seguimento do paciente após Watch and Wait: como conduzir? ;;;;;;;;;;;;;;;;
35;Lara Neves;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;
36;Leila Beltrão ;14:20 - 16:20;;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Presidente ;;;;;;;;;;;;;;;;
37;Leliane Alencar ;"08:15 - 08:30
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Terapia endoscópica no câncer colorretal inicial;;;;;;;;;;;;;;;;
38;Lilian Rose ;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;
39;Luis Felipe Carvalho;"11:20 - 11:35
(15 min) ";"Médico Oncologista Clínico 
Preceptor da Residência de Oncologia Clínica do IMIP
Médico Oncologista da Oncologia D’Or e da Rede Americas. Memorize nesse formato";31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;CASO CLINICO METASTATICONAO HER 2;;;;;;;;;;;;;;;;
40;Luiz José Batista;"12:20 - 12:35
(15 min)";;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Neoadjuvancia em Câncer de Pâncreas ;;;;;;;;;;;;;;;;
41;Marcos Saturnino;"08:00 - 08:15
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Rastreamento do câncer colorretal: o que há de novo?;;;;;;;;;;;;;;;;
42;Maurício Mattos ;09:45 - 11:00;;1-Nov;Mesa 7 – Câncer de reto;Presidente ;;;;;;;;;;;;;;;;
43;Marcos Rivera;16:35 - 18:05;;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;Moderador ;;;;;;;;;;;;;;;;
44;Natália Fernandes ;"08:30 - 08:45
(15 min) ";"Mestre e Doutora em Nutrição (UFPE)
Pós graduação em Nutrição pelo Programa de Residência (UPE)
Especialista em Nutrição em Saúde da Mulher 
Especialista em Nutrição Oncológica
Fitoterapeuta";31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;A importância da nutrição do pré e pós-operatório do câncer esofágico ;;;;;;;;;;;;;;;;
45;Olival Lucena ;"16:35 - 16:50
(15 minutos) ";;31-Oct;Mesa 5 – Metástase hepáticas e câncer de vias biliares;E o Tx hepático? Um novo horizonte?;;;;;;;;;;;;;;;;
46;Omar Jacobina ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Moderador ;;;;;;;;;;;;;;;;
47;Paulo Mozart;08:00 - 09:15 ;"Coloproctologista 
Preceptor da Residência de Coloproctologia do Hospital Barão de Lucena. 
Título de Especialista pela Sociedade Brasileira de Coloproctologia
Mestrado em cirurgia pela UFPE
";1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Moderador ;;;;;;;;;;;;;;;;
48;PATOLOGISTA ;09:30 - 11:00;;31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
49;Rafaela Ralph ;08:15 - 09:45;;31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Moderador ;;;;;;;;;;;;;;;;
50;Ricardo Machado ;09:30 - 11:00;;31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
51;Roberto Borges ;"08:45 - 09:00
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Drivers em CCR: velhos conhecidos, novas possibilidades;;;;;;;;;;;;;;;;
52;Rodrigo Arruda ;"09:45 - 10:00
(15 min) ";"Coordenador Oncologia Clínica do Hospital do Câncer de Pernambuco;
Oncologista Clínico do Imip; 
Mestre pelo IMIP";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;CASO CLINICO  - Esofago - Doença localizada;;;;;;;;;;;;;;;;
53;Rodrigo Taboada;"15:35 - 16:20
(45 min) ";;31-Oct;Mesa 4– Carcinoma Hepatocelular ;Simpósio Satélite ASTRAZENECA - Tratamento sistêmico do CHC;;;;;;;;;;;;;;;;
54;Rommel Pierre ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;
;;08:00 - 09:15 ;;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ;Presidente ;;;;;;;;;;;;;;;;
55;Rossano Araújo;08:15 - 09:45;"Oncologista clínico do hospital Santa Joana Recife e da clínica professor Antônio Figueira Filho.
Mestre em medicina pela UPE.
Doutorando em medicina translacional -UNIFESP -SP.
Especialista em oncologia mamária pelo MD Anderson Câncer Center-Houston tx-USA.                                                                                                                                                                        Especialização em tumores ginecológicos pela Escola de Tumores Ginecológicos do Instituto Oncoclinicas.
Professor assistente de oncologia mamária da disciplina de mastologia da UPE-PE";31-Oct;Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais ;Presidente ;;;;;;;;;;;;;;;;
56;Sandra Oliveira ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Presidente ;;;;;;;;;;;;;;;;
57;Sélem Asmar ;11:50 - 13:20;;1-Nov;Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas ;Presidente ;;;;;;;;;;;;;;;;
58;Thiago Apolinario;09:30 - 11:00;"Oncologista clínico do Hospital Santa Joana;
Oncologista clínico do Hospital Universitário Oswaldo Cruz - Universidade de Pernambuco;
Fellowship em Oncologia Mamária , Fundação Champalimaud, Lisboa, Portugal.";31-Oct;Mesa 2 – ESÔFAGO E  ESTÔMAGO:   ;Moderador ;;;;;;;;;;;;;;;;
;;"08:30 - 08:45
(15 min) ";;1-Nov;Mesa 6 – Câncer colorretal – diagnóstico e patologia ; Imunoterapia em Câncer  colonrretal : O  que ha de novo ?;;;;;;;;;;;;;;;;
;;"10:00 - 10:15
(15 min) ";;1-Nov;Mesa 7 – Câncer de reto;Terapia neoadjuvante e imunoterapia - Como estamos ?;;;;;;;;;;;;;;;;
59;Tibério Medeiros ;"14:20 - 14:35
(15 min) ";"Médico gastrohepatologista e Coordenador do Instituto do fígado do Hospital Santa Joana.
Médico hepatologista do Hospital Oswaldo Cruz 
Professor de Gastroenterologia da Faculdade de aciencias Médicas - PB";31-Oct;Mesa 4– Carcinoma Hepatocelular ;CASO CLINICO - HCC e Transplante - HEPATO ;;;;;;;;;;;;;;;;
60;Tien Chang ;11:20 - 12:50;;31-Oct;Mesa 3 – Câncer de estômago AVANÇADO;Moderador ;;;;;;;;;;;;;;;;
